cpg_id,drift_per_year,drift_per_month,r_squared,n_samples
cg07337598,-0.0001870999259,-1.559166049e-05,0.010474,164
cg07388493,-0.002741967241,-0.0002284972701,0.281052,164
cg07408456,-0.001173387859,-9.778232155e-05,0.091363,164
cg07455279,9.058133633e-05,7.548444694e-06,0.000118,164
cg07498421,-0.0003225729378,-2.688107815e-05,0.051062,164
cg07595943,0.0001255156955,1.045964129e-05,0.010798,164
cg07663789,8.517402348e-05,7.09783529e-06,0.005925,164
cg07730301,-0.0007306109582,-6.088424652e-05,0.033165,164
cg07770222,0.0001501301437,1.251084531e-05,0.000265,164
cg07849904,0.000140145565,1.167879708e-05,0.043018,164
cg08030082,0.0001227235681,1.022696401e-05,0.002217,164
cg08090772,0.0002289961369,1.908301141e-05,0.027963,164
cg08124722,-0.0002161600861,-1.801334051e-05,0.035164,164
cg08186124,-9.921618971e-06,-8.26801581e-07,0.000357,164
cg08251036,0.0001065827507,8.881895892e-06,0.005782,164
cg08331960,-0.0004920815528,-4.100679607e-05,0.042099,164
cg08370996,0.0007738367795,6.448639829e-05,0.113318,164
cg08413469,0.0002749954125,2.291628437e-05,0.066942,164
cg08434234,-6.080582554e-05,-5.067152129e-06,0.002674,164
cg08771731,0.0003432240832,2.860200694e-05,0.073027,164
cg08965235,0.0002273277056,1.894397547e-05,0.002173,164
cg09019938,0.0003698652508,3.082210424e-05,0.072430,164
cg09118625,0.0006854797707,5.712331422e-05,0.019907,164
cg09133026,-0.00050518775,-4.209897917e-05,0.057029,164
cg09191327,3.514365309e-05,2.928637757e-06,0.001314,164
cg09418283,0.0003612983729,3.010819774e-05,0.083787,164
cg09441152,4.903234185e-05,4.086028488e-06,0.006327,164
cg09509673,-0.0006169707319,-5.141422766e-05,0.014557,164
cg09646392,-0.001271759757,-0.0001059799798,0.057811,164
cg09722397,-1.973846115e-05,-1.644871762e-06,0.000688,164
cg09722555,-0.0001758703354,-1.465586128e-05,0.020833,164
cg09785172,4.674342256e-05,3.895285213e-06,0.002388,164
cg09809672,-0.002564547344,-0.0002137122787,0.265962,164
cg09869858,-6.550994071e-05,-5.459161726e-06,0.004946,164
cg09885951,6.411427975e-05,5.342856646e-06,0.009275,164
cg10045881,-8.483377988e-05,-7.069481657e-06,0.001012,164
cg10266490,-0.0008643030805,-7.202525671e-05,0.050211,164
cg10281002,0.0007341202594,6.117668828e-05,0.045225,164
cg10345936,-0.0001785986512,-1.488322093e-05,0.003228,164
cg10376763,-0.0001127381605,-9.394846706e-06,0.010429,164
cg10377274,0.0001024750459,8.539587161e-06,0.004936,164
cg10486998,7.371715594e-05,6.143096328e-06,0.000810,164
cg10523019,0.0009447852109,7.873210091e-05,0.088124,164
cg10865119,-0.0004553674834,-3.794729028e-05,0.044162,164
cg10920957,0.0002398349943,1.998624953e-05,0.032993,164
cg10940099,1.610116511e-05,1.341763759e-06,0.001645,164
cg11025793,-8.284481256e-05,-6.90373438e-06,0.001695,164
cg11299964,-0.0009109600446,-7.591333705e-05,0.058022,164
cg11314684,-0.0007416980383,-6.180816986e-05,0.087543,164
cg11388238,4.513799331e-05,3.761499443e-06,0.004545,164
cg11653266,8.110727585e-05,6.758939654e-06,0.016423,164
cg11932564,0.0001356569883,1.130474903e-05,0.017708,164
cg12351433,0.0006774432474,5.645360395e-05,0.031523,164
cg12373771,0.001066354494,8.886287451e-05,0.121315,164
cg12413566,-0.0001429963725,-1.191636437e-05,0.006370,164
cg12616277,0.0001177669903,9.813915857e-06,0.009171,164
cg12768605,-0.0001275529461,-1.062941218e-05,0.000531,164
cg12830694,-0.0001406830911,-1.172359093e-05,0.018814,164
cg12941369,-0.001547804328,-0.000128983694,0.162797,164
cg12946225,0.0003342535801,2.785446501e-05,0.019293,164
cg12985418,3.638712479e-05,3.032260399e-06,0.004676,164
cg13038560,0.0001870637167,1.558864306e-05,0.011616,164
cg13129046,-0.0002014052705,-1.678377254e-05,0.006535,164
cg13216057,0.0002003364587,1.669470489e-05,0.015093,164
cg13269407,-7.178099515e-05,-5.981749596e-06,0.000308,164
cg13302154,-0.001742492594,-0.0001452077162,0.089551,164
cg13319175,-0.0003629176895,-3.024314079e-05,0.085412,164
cg13460409,0.001215422565,0.0001012852137,0.052713,164
cg13547237,-0.001123069192,-9.358909932e-05,0.192373,164
cg13682722,0.000161115122,1.342626017e-05,0.013170,164
cg13828047,-0.0007896522107,-6.580435089e-05,0.088246,164
cg13836627,0.0006411609636,5.34300803e-05,0.059415,164
cg13854874,0.0003104105511,2.586754592e-05,0.003362,164
cg13899108,0.001165211418,9.710095153e-05,0.050934,164
cg13931228,-0.0005621476375,-4.684563646e-05,0.200936,164
cg13975369,0.000459615301,3.830127509e-05,0.012917,164
cg14060828,-0.0001540347211,-1.283622676e-05,0.009687,164
cg14163776,-0.0004478704575,-3.732253813e-05,0.049264,164
cg14175438,-0.001078490648,-8.987422066e-05,0.193733,164
cg14258236,-0.0001885329983,-1.571108319e-05,0.014855,164
cg14308452,-0.0005584695057,-4.653912547e-05,0.101802,164
cg14329157,0.0002646667639,2.205556365e-05,0.008602,164
cg14408969,-4.481141453e-05,-3.734284544e-06,0.007053,164
cg14409958,6.83962907e-05,5.699690892e-06,0.002831,164
cg14423778,-0.0008382235976,-6.985196647e-05,0.058625,164
cg14424579,-2.556296941e-05,-2.130247451e-06,0.003770,164
cg14501253,0.0003910411058,3.258675882e-05,0.091380,164
cg14597908,1.68880238e-05,1.407335317e-06,0.000110,164
cg14654875,8.424465342e-05,7.020387785e-06,0.002230,164
cg14658362,0.0002166447909,1.805373258e-05,0.045040,164
cg14723032,-0.000373736947,-3.114474558e-05,0.036576,164
cg14727952,2.86634904e-05,2.3886242e-06,0.001486,164
cg14894144,0.0005206547354,4.338789462e-05,0.028542,164
cg14992253,0.0001629297963,1.357748303e-05,0.005028,164
cg15185286,2.624075978e-06,2.186729982e-07,0.000018,164
cg15262928,-5.740458439e-05,-4.783715366e-06,0.011592,164
cg15341340,8.504708084e-05,7.087256737e-06,0.018745,164
cg15381769,9.899139008e-05,8.249282507e-06,0.013542,164
cg15547534,1.427090141e-05,1.189241784e-06,0.000753,164
cg15661409,-3.123914722e-05,-2.603262268e-06,0.000425,164
cg15703512,5.528110639e-05,4.606758866e-06,0.012571,164
cg15804973,-0.002648184804,-0.000220682067,0.333226,164
cg15974053,-1.026155738e-05,-8.551297816e-07,0.000051,164
cg15988232,0.0002159134535,1.799278779e-05,0.002342,164
cg16034652,-0.0007834592336,-6.528826946e-05,0.031128,164
cg16150435,-0.0001936491569,-1.613742974e-05,0.010753,164
cg16168311,-0.0003187211644,-2.656009703e-05,0.074232,164
cg16241714,6.275622601e-05,5.229685501e-06,0.016993,164
cg16358826,-0.0001281311582,-1.067759652e-05,0.010202,164
cg16408394,1.410429797e-05,1.175358164e-06,0.000732,164
cg16419345,4.69739626e-06,3.914496883e-07,0.000061,164
cg16494477,0.0001387630039,1.156358366e-05,0.022168,164
cg16547529,0.0005305096595,4.420913829e-05,0.008942,164
cg16579101,4.029941885e-05,3.358284904e-06,0.002254,164
cg16744741,-0.001337892676,-0.0001114910563,0.158989,164
cg16899442,-0.0002167502714,-1.806252262e-05,0.011119,164
cg16984944,-0.0003442319969,-2.868599974e-05,0.022963,164
cg17063929,0.0006831813861,5.693178217e-05,0.033807,164
cg17099569,-0.0001793179852,-1.494316543e-05,0.002092,164
cg17274064,-0.0006477576358,-5.397980298e-05,0.051404,164
cg17285325,0.0003215602287,2.679668572e-05,0.031186,164
cg17324128,-0.0007296837541,-6.080697951e-05,0.134535,164
cg17338403,0.0001645223365,1.371019471e-05,0.010298,164
cg17408647,4.289796966e-05,3.574830805e-06,0.012209,164
cg17589341,-0.0009466197591,-7.888497992e-05,0.050960,164
cg17655614,0.0005946332442,4.955277035e-05,0.033469,164
cg17686885,-0.0005159878593,-4.299898828e-05,0.030372,164
cg17729667,0.0008131273929,6.776061607e-05,0.118269,164
cg17853587,0.0002593547736,2.16128978e-05,0.024106,164
cg17960516,0.0002285373382,1.904477818e-05,0.036077,164
cg18031008,-1.453966613e-05,-1.211638844e-06,0.000271,164
cg18055007,3.24478765e-05,2.703989709e-06,0.000090,164
cg18139769,7.668249786e-05,6.390208155e-06,0.003438,164
cg18180783,-0.0001049438124,-8.745317698e-06,0.009683,164
cg18328933,-0.0008611586916,-7.17632243e-05,0.132137,164
cg18440048,3.635189586e-05,3.029324655e-06,0.000142,164
cg18573383,0.0008385167406,6.987639505e-05,0.220286,164
cg18956095,1.619232783e-05,1.349360653e-06,0.000458,164
cg18983672,-3.299129516e-05,-2.749274597e-06,0.000886,164
cg18984151,-0.0001574374246,-1.311978538e-05,0.001438,164
cg19008809,9.106278361e-05,7.588565301e-06,0.010554,164
cg19044674,0.0001463442331,1.219535275e-05,0.016333,164
cg19046959,-0.0002486634462,-2.072195385e-05,0.057880,164
cg19167673,0.0002153182457,1.794318714e-05,0.067698,164
cg19273182,5.058869406e-05,4.215724505e-06,0.006143,164
cg19305227,-0.0001666384991,-1.388654159e-05,0.007568,164
cg19346193,-0.0002301885146,-1.918237622e-05,0.004628,164
cg19420968,-0.0001636362427,-1.363635356e-05,0.010098,164
cg19478743,0.0001537562289,1.281301908e-05,0.015296,164
cg19514928,-0.0001493161887,-1.244301572e-05,0.021155,164
cg19569684,-0.00015264064,-1.272005333e-05,0.010718,164
cg19692710,-0.0005689015497,-4.740846248e-05,0.064340,164
cg19706682,-0.0001173776406,-9.781470053e-06,0.002443,164
cg19722847,-0.000829117938,-6.90931615e-05,0.208276,164
cg19724470,-0.001435541282,-0.0001196284401,0.133585,164
cg19761273,-0.001193154906,-9.942957547e-05,0.246407,164
cg19853760,-0.0003916229562,-3.263524635e-05,0.028298,164
cg19945840,0.0007794162077,6.495135064e-05,0.054823,164
cg20100381,1.478486806e-05,1.232072338e-06,0.000084,164
cg20240860,-0.0009147533202,-7.622944335e-05,0.100910,164
cg20295671,6.067869978e-05,5.056558315e-06,0.020903,164
cg20305610,0.0001260316567,1.050263805e-05,0.046377,164
cg20524216,-3.422048509e-05,-2.85170709e-06,0.005235,164
cg20692569,0.001298024623,0.0001081687185,0.119483,164
cg20761322,0.0007647968835,6.373307363e-05,0.063249,164
cg20795863,0.0001096135087,9.134459058e-06,0.009000,164
cg20828084,-0.0001194192061,-9.951600506e-06,0.001606,164
cg20914508,0.0003534820061,2.945683384e-05,0.065600,164
cg20947775,0.000120481147,1.004009559e-05,0.033022,164
cg20999813,6.884839688e-05,5.737366406e-06,0.013826,164
cg21096399,0.0005236462554,4.363718795e-05,0.032949,164
cg21211748,5.411138794e-05,4.509282328e-06,0.007113,164
cg21305265,-9.666550602e-05,-8.055458835e-06,0.026689,164
cg21370143,-0.000411572291,-3.429769092e-05,0.056534,164
cg21378206,-9.889622473e-05,-8.241352061e-06,0.002849,164
cg21395782,-9.905596802e-06,-8.254664002e-07,0.000136,164
cg21460081,2.838866627e-05,2.365722189e-06,0.002167,164
cg21801378,0.0008346225872,6.955188227e-05,0.141536,164
cg21870884,0.000977706552,8.1475546e-05,0.105275,164
cg21950518,0.0003253789414,2.711491179e-05,0.024657,164
cg22006386,-7.469006393e-06,-6.224171994e-07,0.000413,164
cg22171829,-0.0008340229036,-6.950190863e-05,0.029749,164
cg22190114,-7.699224748e-05,-6.416020623e-06,0.000739,164
cg22197830,-0.0005507759479,-4.589799566e-05,0.061527,164
cg22289837,0.0002620407876,2.18367323e-05,0.003611,164
cg22432269,0.0001625777863,1.354814886e-05,0.065486,164
cg22449114,-0.0003900265793,-3.250221494e-05,0.013081,164
cg22568540,-0.0001120912588,-9.340938233e-06,0.002096,164
cg22613010,-0.0001106429772,-9.220248101e-06,0.019750,164
cg22637507,7.960977028e-05,6.634147523e-06,0.022048,164
cg22679120,-0.0002853837965,-2.378198304e-05,0.009322,164
cg22736354,0.001725708246,0.0001438090205,0.356543,164
cg22809047,0.001035556998,8.629641652e-05,0.065819,164
cg22901840,0.0008873707648,7.394756373e-05,0.026878,164
cg22920873,4.793107498e-05,3.994256248e-06,0.011615,164
cg22947000,-0.001949158147,-0.0001624298456,0.205278,164
cg23092072,4.085884903e-05,3.404904086e-06,0.004888,164
cg23124451,-0.001072516986,-8.937641554e-05,0.140108,164
cg23180365,1.510808647e-05,1.259007206e-06,0.001007,164
cg23517605,0.0006078158018,5.065131682e-05,0.051972,164
cg23662675,-3.595039945e-05,-2.995866621e-06,0.006235,164
cg23786576,-5.58208167e-05,-4.651734725e-06,0.012574,164
cg23941599,-0.0005271591515,-4.392992929e-05,0.017018,164
cg24058132,-0.0009445343349,-7.871119458e-05,0.090535,164
cg24081819,0.0001732029708,1.44335809e-05,0.007046,164
cg24116886,-2.437853926e-05,-2.031544938e-06,0.000234,164
cg24126851,-0.0004841504923,-4.034587436e-05,0.068266,164
cg24254120,0.0001380052748,1.150043956e-05,0.030002,164
cg24262469,-0.0003703198896,-3.08599908e-05,0.011363,164
cg24450312,0.0002256237624,1.88019802e-05,0.052044,164
cg24471894,-0.0002714863643,-2.262386369e-05,0.011028,164
cg24580001,-0.0002106241593,-1.755201328e-05,0.031084,164
cg24834740,8.943782584e-05,7.453152153e-06,0.039416,164
cg24888049,-0.000277597635,-2.313313625e-05,0.009566,164
cg24899750,-0.0004484914162,-3.737428469e-05,0.012964,164
cg25070637,6.117216879e-05,5.097680733e-06,0.007626,164
cg25101936,-0.0005474297737,-4.561914781e-05,0.010535,164
cg25148589,0.001349275871,0.0001124396559,0.154384,164
cg25159610,0.0002127054699,1.772545583e-05,0.033637,164
cg25166896,-0.0001227395337,-1.022829447e-05,0.038286,164
cg25411725,-4.652367348e-05,-3.87697279e-06,0.001458,164
cg25505610,4.800359857e-05,4.000299881e-06,0.013120,164
cg25552492,0.0002801480243,2.334566869e-05,0.023011,164
cg25564800,-0.0007475512356,-6.22959363e-05,0.034783,164
cg25657834,0.0003541323011,2.951102509e-05,0.011850,164
cg25683012,-1.932982989e-06,-1.610819157e-07,0.000026,164
cg25771195,0.001011778882,8.431490684e-05,0.049656,164
cg25781123,-1.859449991e-06,-1.549541659e-07,0.000004,164
cg25809905,-0.001516998177,-0.0001264165147,0.073791,164
cg25928579,4.848546607e-05,4.040455506e-06,0.000460,164
cg26003813,9.240848501e-05,7.700707084e-06,0.009679,164
cg26005082,0.0003570229825,2.975191521e-05,0.073935,164
cg26043391,-1.24743658e-05,-1.039530483e-06,0.000207,164
cg26045434,0.0004032876528,3.36073044e-05,0.069719,164
cg26162695,4.385418335e-05,3.654515279e-06,0.010520,164
cg26297688,0.0002906464759,2.422053966e-05,0.033146,164
cg26372517,-4.279255297e-05,-3.566046081e-06,0.000064,164
cg26394940,-0.0001832182079,-1.526818399e-05,0.002019,164
cg26453588,9.390405452e-05,7.825337877e-06,0.000490,164
cg26456957,5.912913966e-05,4.927428305e-06,0.006822,164
cg26614073,-0.001428033248,-0.0001190027707,0.128690,164
cg26620959,1.269692462e-06,1.058077052e-07,0.000001,164
cg26723847,5.828324129e-06,4.856936774e-07,0.000021,164
cg26824091,-7.310466311e-05,-6.092055259e-06,0.002789,164
cg26842024,0.0007601447019,6.334539182e-05,0.119284,164
cg26845300,0.0007637489117,6.364574264e-05,0.036047,164
cg27015931,-0.0003312135108,-2.76011259e-05,0.165310,164
cg27016307,-0.001294380345,-0.0001078650287,0.088835,164
cg27092035,0.0001406467972,1.172056643e-05,0.023994,164
cg27169020,0.0005112950097,4.260791747e-05,0.012088,164
cg27202708,-0.0008634002071,-7.195001726e-05,0.018454,164
cg27319898,0.0002537982552,2.11498546e-05,0.043347,164
cg27377450,-0.0001655165213,-1.379304344e-05,0.008690,164
cg27413543,0.0001551223015,1.292685846e-05,0.042990,164
cg27494383,0.0002820617272,2.350514394e-05,0.049992,164
cg27544190,-0.0003325334145,-2.771111787e-05,0.080473,164
